AHT_eff_age55plus_SBP_female1,eq_2dis1,Smoking_eff1,eq_dem1,eq_male1,smoker_log1,smoker_log2,AHT_eff_age55plus_DBP_male1,Statins_dropout_rate1,Statins_eff_HDL_male1,HC_statins_presc_Q20plus1,AHT_comp1,Weight_eff1,eq_ihd1,Weight_comp1,HC_smoker_ref1,HC_statins_presc_Q20minus1,AHT_eff_age55minus_SBP1,eq_poor1,Statins_logeff_extra_female1,AHT_eff_age55plus_SBP_male1,Statins_comp1,HC_aht_presc_Q20minus1,AHT_eff_age55plus_DBP_female1,gender_log1,gender_log2,eq_lc1,Statins_eff_HDL_female1,eth_log1,eth_log2,eth_log3,eth_log4,AHT_dropout_rate1,eq_age1,HC_weight_ref1,QRisk_log1,QRisk_log2,QRisk_log3,QRisk_log4,QRisk_log5,eq_stroke1,SES_log1,SES_log2,SES_log3,SES_log4,SES_log5,AHT_eff_age55minus_DBP1,age_log1,age_log2,age_log3,age_log4,HC_takeup_noneligible1,eq_4dis1,Statins_eff_female1,QRisk_extra_logrr1,Statins_logeff_extra_male1,eq_3dis1,HC_aht_presc_Q20plus1,Statins_eff_male1
-8.947860176148370925e+00,-5.252756329826054060e-02,1.508980527504826530e-01,-2.075891310692963843e-01,9.635043582434393719e-04,1.617938565391175473e-03,-3.030560484492076379e-01,-3.017695910415764793e+00,5.595912064383071205e-02,4.593443474499663698e-02,1.439366425581689868e-01,5.894336957572771096e-01,-1.500567855286718544e+00,-6.321585154789384486e-02,5.583284586021718399e-01,3.577151564139557927e-02,2.058783233715925226e-02,-8.439546636119123590e+00,-5.279027265088962612e-02,-2.599277863065649341e-01,-7.621768873421765456e+00,4.558663910604590086e-01,1.569340119353597116e-02,-3.535231002829473113e+00,2.930354040101892325e-03,7.508902246717583107e-02,-2.050118035070911393e-01,3.977704534574080103e-02,9.602022052634520211e-04,2.981156552967528794e-02,-8.768447635064501380e-03,-1.371787673992294343e-01,3.505342109295355585e-02,-3.014455358614313569e-04,2.756926756289557190e-01,-4.410482137901521882e-01,1.180333844373739928e-02,4.225139554033655043e-01,6.190683341394057626e-01,8.321564131298744282e-01,-1.122735609303679022e-01,3.213385161464821574e-03,-1.713419753672825591e-02,-2.015797130943992183e-02,1.427457507281720481e-02,2.240724610757652002e-01,-4.448864099933632410e+00,-4.598706729069431676e-01,4.162467283013053521e-03,4.008346443771964029e-01,5.021563527535050087e-01,4.438876208190691008e-02,-4.403056194801036743e-02,-1.122636326542561847e+00,0.000000000000000000e+00,-1.244214070308002351e-01,-6.427901463118489145e-02,2.307720469504060887e-02,-1.230801960836724218e+00
-8.914687790699165504e+00,-5.150841594117457067e-02,1.410898335251331293e-01,-1.521037260111736955e-01,1.040348299344559307e-03,-6.452606101976524067e-03,-2.882892965497056426e-01,-3.085079563588131624e+00,5.613883222927407851e-02,4.366604729547184788e-02,1.435362310148950715e-01,5.760213793672832594e-01,-1.501612610846129847e+00,-5.026894214848852405e-02,5.004803953485889023e-01,3.415476889114344577e-02,2.053006699904697321e-02,-1.077549192792602994e+01,-4.624102944632894896e-02,-1.078144929207262570e-01,-7.549181741110304600e+00,4.962848240917016041e-01,1.503087514585804522e-02,-3.055788475174311625e+00,4.891613244113364456e-03,8.715653286883558171e-02,-2.654570631535385083e-01,2.596867205513204643e-02,-4.039482654823429260e-04,2.380299333086965952e-02,-6.626483511493445541e-03,-1.412376560530747838e-01,5.803058471647160044e-02,-2.638044091542367199e-04,2.782920949059062288e-01,-4.456691626145504181e-01,-8.684161567346245642e-03,4.299590530316698689e-01,6.293974388755865235e-01,8.609457037258901879e-01,-1.185077394573040288e-01,1.611238576184538182e-02,-1.751283990089035764e-02,-2.651122191109166540e-02,5.624769535407462238e-03,2.262961832338112877e-01,-4.817867583548895993e+00,-4.658416853841322869e-01,-1.079275216593958073e-02,4.149134213320136433e-01,5.621191961509935942e-01,6.083416654908944260e-02,-5.482785566636423635e-02,-1.188159636978792122e+00,0.000000000000000000e+00,-1.985618199488135560e-01,-7.252002030521087494e-02,2.533376791905369088e-02,-1.217547039125346453e+00
-9.124915326698445739e+00,-5.548041151756391565e-02,1.477817777461214177e-01,-2.197519253241191350e-01,1.782547590533225396e-03,-4.332379781179509018e-03,-2.868396102090370881e-01,-2.862959966119186905e+00,3.610668689272575338e-02,4.040700610076815302e-02,1.392460459395196137e-01,4.773204900749500879e-01,-1.494456013356744162e+00,-6.955798287123243773e-02,4.723726386259635701e-01,3.791621975414069534e-02,2.023980743375411798e-02,-7.313405498210823197e+00,-4.865925806389317931e-02,-2.054162916715577269e-01,-7.823616549973071876e+00,3.946992956058020252e-01,1.559450534357544223e-02,-3.459828511962422137e+00,-2.845242644662227243e-03,7.729368587002602431e-02,-1.104838495684446198e-01,2.782674874862594433e-02,3.744240905261864410e-03,3.583998997577786394e-02,-5.087496164603825741e-03,-1.570418646135054719e-01,6.153463526151471685e-02,-2.299125251593748121e-04,2.775801898348010943e-01,-4.491607903023405735e-01,4.186397474119148143e-03,4.308568573396934220e-01,6.450148779303647162e-01,8.641714110466571785e-01,-1.302735138130242110e-01,-1.148987554582780318e-02,-2.413395230354030765e-02,-1.298299723322774574e-02,-8.863204627179536998e-04,2.232390156605958964e-01,-4.785774991561877911e+00,-4.661543617717183174e-01,-1.981289135578446700e-03,4.071147090738037044e-01,4.815927215386787696e-01,7.479251494488557694e-02,-3.940649362440877546e-02,-1.160259321737114879e+00,0.000000000000000000e+00,-2.020924126659515152e-01,-6.232646533617001994e-02,2.504101002468232806e-02,-1.223887586921634352e+00
-9.194872150572765079e+00,-6.392766102235540593e-02,1.456648321331363571e-01,-2.191140392200950082e-01,1.413201829681111138e-03,-5.282086389290389060e-03,-2.928690244874849191e-01,-3.287503001977745587e+00,6.598908586609664173e-02,3.292010743925077171e-02,1.473513096972347558e-01,4.756992143457655642e-01,-1.502581729279135025e+00,-5.710007351681947035e-02,5.666110260722886371e-01,3.609027265591222000e-02,1.971176302827060828e-02,-3.714680728909366625e+00,-3.463388617107680811e-02,-1.305701976139292397e-01,-7.758903010896561980e+00,4.956775939270454123e-01,1.567612299428305933e-02,-3.549011222334720550e+00,-3.720730621450138095e-03,7.843213231570261845e-02,-1.446488151371910780e-01,5.397166938717100348e-02,-3.220011895497712892e-06,6.024010935171707215e-03,6.265078575359224120e-03,-1.252249553334472965e-01,5.368571035584165235e-02,-1.707002269222280264e-04,2.718438216744545888e-01,-4.411336797190097969e-01,2.182191057126525290e-03,4.185058067106774415e-01,6.567186589344014003e-01,8.518467639089202237e-01,-1.282651645387969663e-01,-4.641160814569467510e-03,-2.739451434294670057e-02,-9.216086618684338205e-03,4.710287156657773193e-03,2.207042591210206794e-01,-4.466692150661033089e+00,-4.578397920436919621e-01,-2.711458228505241562e-03,4.110773030263748518e-01,5.237725958022302342e-01,3.555929511757466993e-02,-2.525096032596076123e-02,-1.163557522567673752e+00,0.000000000000000000e+00,-2.069299958060997202e-01,-5.386083659200593260e-02,2.484497837051284283e-02,-1.258905507725111672e+00
-8.740661265448611772e+00,-5.938439615760347789e-02,1.379305597034836128e-01,-2.331953449499972464e-01,8.495009742312720387e-04,2.254600988840982888e-03,-2.913246068882507922e-01,-3.488600293690537590e+00,5.467387994035947246e-02,4.812681575611282847e-02,1.436249392986247986e-01,5.380481553151311713e-01,-1.499047177612296666e+00,-5.203818829241758925e-02,5.046664918981614845e-01,3.718673427231772299e-02,2.032298971807055404e-02,-3.623272940114850904e+00,-5.140415206779608281e-02,-2.019715686933793164e-01,-7.760680413992258941e+00,4.754868756146972131e-01,1.522673933204202537e-02,-3.698729053046485582e+00,-9.452848382033062977e-03,7.909233814079354163e-02,-1.825096849392970344e-01,5.372672888084331633e-02,-5.428860732553528017e-03,3.112091409438233133e-02,-1.711321238366682318e-02,-1.177600866418809095e-01,4.852637140581766290e-02,-3.266192129446852661e-04,2.723101226414801901e-01,-4.361674796425954459e-01,-1.888245993315385658e-03,4.152273999972240781e-01,6.274276969596320752e-01,8.589217664657302631e-01,-1.015553110591096153e-01,-1.382407625148898353e-03,-2.600459012942608547e-02,-2.098029759502418462e-02,1.141171970026669258e-02,2.211502216364762963e-01,-4.094929154597385157e+00,-4.586273108978172752e-01,4.608121425396409575e-04,4.119934085395631773e-01,4.988324359081394155e-01,6.270237143835157012e-02,-4.577229760716907542e-02,-1.159282817649148756e+00,0.000000000000000000e+00,-2.082375536561903440e-01,-6.216076539134303414e-02,2.516730378609419519e-02,-1.236481391265431773e+00
-8.982106985738198546e+00,-7.924362095358752911e-02,1.529008646397039817e-01,-1.998100882172434700e-01,1.450092664015008824e-03,-2.877278486000832934e-03,-2.910320174140600402e-01,-3.061521594293413084e+00,6.066183291689800083e-02,3.309240630457919996e-02,1.417692827540613654e-01,5.121125775098419597e-01,-1.501585346326490766e+00,-6.255450858830413630e-02,4.991287028784578417e-01,3.650925970197134440e-02,2.051173576903298629e-02,-6.512532685671947874e+00,-4.720488087651213138e-02,-1.881335091322559050e-01,-7.362423103160458560e+00,5.307132837259079805e-01,1.545771353821956580e-02,-3.429947740775444842e+00,-1.083074800962585682e-02,8.957860149770034697e-02,-1.765111582601195939e-01,5.429704172084084957e-02,6.248586460284298073e-03,5.657034080726241337e-02,2.959338840090577558e-03,-1.194273611371859112e-01,6.593916757962485498e-02,-3.447772968786502398e-04,2.796475626645041901e-01,-4.438266669953823129e-01,-5.220613136121271406e-04,4.303304316215804670e-01,6.535659601678913688e-01,8.439477427480142069e-01,-1.282398498371333517e-01,-8.781933571551532244e-03,-1.180971793460724312e-02,-2.133568907557616134e-02,1.723898082887929777e-03,2.197352724824756520e-01,-4.041462163184763590e+00,-4.668887629837273345e-01,6.350569269259855217e-03,3.982284529595921385e-01,4.305371376017979590e-01,4.421142339515555381e-02,-1.326797083443733566e-02,-1.071696036618974501e+00,0.000000000000000000e+00,-1.876348632686776485e-01,-7.101711344146426075e-02,2.842703512103245470e-02,-1.258484582503327953e+00
-9.245734859158076802e+00,-4.028147264995582399e-02,1.423980047082064604e-01,-2.642554000590650598e-01,1.783351504248582853e-03,4.890550241506967655e-03,-2.927046552203224627e-01,-3.321917794453452810e+00,6.099862471197878278e-02,3.259935161406642828e-02,1.458515571137306566e-01,5.083354121377831047e-01,-1.493209472400121030e+00,-5.137377866112728675e-02,6.467475191351294006e-01,3.393072800069739381e-02,2.016902029075693173e-02,-4.446668392173772411e+00,-3.009514081188686963e-02,-1.825925650034195269e-01,-8.009133417736597593e+00,4.937762509122897714e-01,1.562798926312941594e-02,-3.575328554563820482e+00,2.087858208586727479e-03,8.130848399832160678e-02,-1.038676864398713345e-01,4.181333378682163676e-02,3.648621771928017062e-03,3.345897053186985826e-02,-1.382248611093760821e-02,-1.444473980546360781e-01,8.020132040033020604e-02,-2.619051719676879133e-04,2.801272829560192412e-01,-4.379950786901197768e-01,1.643478988770297536e-02,4.295974950308216744e-01,6.458302550589476443e-01,8.443879487445131726e-01,-1.267565269993776444e-01,5.977111541081144529e-03,-2.300557355366546208e-02,-8.700231356366962959e-03,-1.521741205914934475e-03,2.153308483479004776e-01,-4.613673504718962981e+00,-4.669553932295169574e-01,1.274558037104673788e-02,4.099888492940516049e-01,5.109349579308988254e-01,3.308649516933392931e-02,-3.957955650303228434e-02,-1.140911974332420753e+00,0.000000000000000000e+00,-1.808071526799405748e-01,-7.125149534053080991e-02,2.719076321079911401e-02,-1.218832661804647666e+00
-8.805867636600074988e+00,-6.725477822066740219e-02,1.416297616707677953e-01,-1.852484156483741595e-01,2.308042016529733911e-03,-2.544935847038402432e-03,-2.892740696013429980e-01,-3.113141664062293312e+00,4.380745319599498033e-02,4.473619842507987887e-02,1.426852619417846024e-01,5.256407651220716959e-01,-1.503049927433199429e+00,-5.275065576842752346e-02,4.333461033757143310e-01,3.736386313439721968e-02,2.086853787201705182e-02,-7.538799314616759339e+00,-3.791848403747351964e-02,6.447111753217826813e-03,-7.597721729159613524e+00,4.924830536435401696e-01,1.541514743386104662e-02,-3.966887831285315080e+00,5.169435789986493324e-04,8.574847168625911176e-02,-7.359917524410536371e-02,1.346710939263284432e-02,-3.288168981267425121e-03,2.087262057452002328e-02,-6.048974995965635849e-03,-1.395733854186902434e-01,4.820837707732689853e-02,-1.597355776142213605e-04,2.756850937424606407e-01,-4.279716971019530414e-01,-1.201516954214433032e-02,4.379882317412768789e-01,6.294149379687551393e-01,8.413548116261075904e-01,-1.076157226671977246e-01,-8.851224696333691647e-03,-2.764328632822590781e-02,-1.564659343912286685e-02,1.112411204990440376e-02,2.105431914105308777e-01,-3.655927735402763279e+00,-4.649083313493845293e-01,-1.925453188866681556e-03,4.266400171575364664e-01,4.894897124007319134e-01,3.575952526963446093e-02,-5.227697164142911662e-02,-1.168596826509431086e+00,0.000000000000000000e+00,-1.522882543615672046e-01,-6.883035924399404093e-02,2.427024592147776841e-02,-1.200159605924914885e+00
-9.348134432131587346e+00,-5.726414263846817815e-02,1.581123950472365369e-01,-1.892682013816130715e-01,6.672071439582857866e-04,4.694251366961730296e-04,-2.957510369537835748e-01,-3.068953023574953587e+00,4.429477057509516313e-02,4.265138432278696434e-02,1.381868236275445860e-01,6.168223730563379137e-01,-1.501136568835502505e+00,-6.028549438987699377e-02,5.453656157048315523e-01,3.767672494748120632e-02,2.080059051810326590e-02,-7.588348591003011734e+00,-3.524066586532488554e-02,-1.109796176008055746e-01,-7.781187140503261546e+00,4.730121006359179203e-01,1.600546130446119097e-02,-3.344701835896418451e+00,-1.172819221091711203e-02,8.265035558762443002e-02,-1.510480711334119541e-01,5.362820871984515930e-02,4.075939181070232370e-03,9.096038176590291735e-03,1.548714825232972228e-02,-1.411159809826872391e-01,4.562631498196656477e-02,8.062987128205380532e-05,2.741712590599428290e-01,-4.432521788002459773e-01,5.042633740853408493e-03,4.394759233847050917e-01,6.432718658540637069e-01,8.690525833334489247e-01,-1.296238962516106652e-01,1.952611203324328484e-02,-2.162184638329895867e-02,-1.547582832045197448e-02,1.582802140445220551e-02,2.232328603142556267e-01,-3.759198740358374202e+00,-4.691688745188617449e-01,4.242337730921508752e-03,4.122779580037171931e-01,4.558621635111810289e-01,2.886184930167999541e-02,-4.893434785085624267e-02,-1.144139893967513366e+00,0.000000000000000000e+00,-1.459654481959259675e-01,-7.255957716325292517e-02,2.499891602399854224e-02,-1.205167143655274886e+00
-8.915741381659596954e+00,-5.104067469977127680e-02,1.321935073619669443e-01,-2.282343124880695795e-01,7.073945431152240965e-04,-4.068948897009303824e-03,-2.917711789218159768e-01,-3.018679846377534393e+00,4.695629434186331108e-02,4.222303800572047711e-02,1.375104238253170297e-01,6.169930248109606330e-01,-1.484903279019352595e+00,-7.394400232656843375e-02,4.628131915998333068e-01,3.736561485816729949e-02,2.053799469843443221e-02,-3.923540831560346387e+00,-3.501813742263837348e-02,-9.163979100727394356e-02,-7.677153146203123946e+00,5.205494097608434068e-01,1.532721336740919954e-02,-3.403071640329558445e+00,-3.907209331808060657e-05,7.694287591611091714e-02,-1.300488892595655088e-01,5.214453686218503692e-02,-1.940678768061009042e-03,3.245237804417407113e-02,-2.585727782685238139e-03,-1.509200874358028743e-01,4.730701396830555572e-02,-1.524415089182412208e-04,2.757561209957616333e-01,-4.301181979609635109e-01,-2.470735225201273156e-04,4.260702414293909834e-01,6.509589840366117874e-01,8.470332761529276722e-01,-1.186353303054584751e-01,-6.576575438177455560e-03,-2.966504355796968292e-02,-7.843980533899692215e-03,1.081055509630779801e-02,2.131101118727921351e-01,-5.060369228611972581e+00,-4.575063710780573611e-01,-1.664762326898863200e-03,4.077194698690591035e-01,3.646869292098082749e-01,5.585875671975214923e-02,-4.245323466476698393e-02,-1.178906143844569376e+00,0.000000000000000000e+00,-1.679726743322563776e-01,-7.624562804649509529e-02,2.771391409903440836e-02,-1.236927290862793516e+00
